date,CS,Burnham Law Firm,eLearning,JCD Law,River Run Law,Shanta J.,Parsons Law,De Paz Law,HR,JacobLaw,PMO,MAGWV,Paramount,Scott & Phillips,LincolnDG,Ashby & Gabriel,Vail Gardner,Paramount CG,NATF,Marketting,WebSuited,Tangible Accounting,KR8.AGENCY,Howard Law,Boston Sales Solutions,The Rocklin Group,System Six,SalesXceleration,Sales,Moodi,Martin Law,Elevate Law,Curriculum,Wilensky & Jones,WAW,SimpleProfit,Raving Fans,KRV Legal,IT,Ink'd Stores,Growth Plan,Finance,"Cullari Carrico, LLC",Boroja Bernier,Tax Path,MF Bookkeeping,McKown Bailey,Kuno,JustinJJ,Garfinkel Schwartz,Flow State Solar,CodeWiz,Working Hands,WAW(Internal),VSharp ,Phantm Marketing,Park Law Firm,Oh Marketing Group,Maine Elder Law,inSearchX,IB Law,HipLink,Gorostiaga Law Firm,Fintech Digital,Eyestone,East to West,Coastal Shutters ,ChiroPro,Bertone Realty,Animal Chiropractic,Accounting,Ablin
Aug-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-22,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct-22,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov-22,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec-22,13,0,0,0,0,21,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-23,13,0,1,0,0,21,0,0,4,0,0,0,0,0,0,0,0,6,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-23,15,0,1,0,0,21,0,0,4,0,0,0,0,0,0,0,0,6,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-23,17,0,1,0,0,21,0,0,4,0,0,0,0,0,0,0,0,6,0,5,0,5,0,0,4,0,0,0,1,0,0,0,0,0,3,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Apr-23,18,0,1,0,0,21,0,0,6,0,0,0,0,0,0,0,0,6,0,5,0,5,0,0,4,0,0,0,1,0,0,0,1,0,3,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
May-23,21,0,13,0,0,21,0,0,8,0,0,0,0,0,0,0,0,6,0,5,0,5,0,0,4,0,0,0,1,0,0,0,4,0,3,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jun-23,22,0,15,0,0,21,0,0,8,0,0,4,0,0,0,0,0,6,0,5,0,5,0,0,4,0,0,0,1,0,0,0,4,0,3,0,3,0,1,1,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jul-23,24,0,18,0,0,21,0,0,8,0,0,5,0,0,1,0,0,6,0,5,0,5,0,0,4,0,0,0,1,0,0,0,4,0,3,0,3,0,1,1,0,3,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aug-23,24,9,19,0,0,21,0,4,8,0,1,6,0,0,6,0,1,6,0,5,0,5,0,0,4,0,0,0,1,3,0,0,4,0,3,0,3,0,1,3,0,3,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Sep-23,25,16,21,0,0,21,0,6,8,0,1,6,0,0,7,0,1,6,0,5,0,5,0,0,4,0,0,0,1,3,0,0,4,0,3,0,3,0,1,3,0,3,3,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
Oct-23,26,19,21,0,0,21,0,8,8,0,1,6,0,0,7,0,2,6,0,5,0,5,0,0,4,0,0,0,1,4,0,0,4,0,3,0,3,0,1,3,0,3,3,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0
Nov-23,26,23,21,0,0,21,7,8,10,0,1,6,0,0,7,0,3,6,0,5,3,5,5,0,4,0,1,0,1,4,0,0,4,0,3,0,3,0,1,3,0,3,3,1,2,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0
Dec-23,29,25,23,0,0,21,12,9,10,0,2,6,0,0,7,0,3,6,0,5,3,5,5,0,5,0,2,0,1,4,0,0,4,0,3,0,3,0,1,3,3,3,3,1,2,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0
Jan-24,33,26,23,0,0,21,13,12,10,0,3,7,0,0,7,0,3,6,0,5,3,5,5,0,5,0,2,2,1,4,0,0,4,0,3,0,3,3,1,3,3,3,3,1,2,0,0,0,2,1,0,2,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
Feb-24,36,28,24,9,22,21,14,13,10,0,5,7,0,7,7,0,4,6,0,5,3,5,5,0,5,3,2,2,2,4,0,0,4,0,3,0,3,3,1,3,3,3,3,2,2,0,2,0,2,1,0,2,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
Mar-24,41,30,24,12,22,21,14,13,10,0,5,7,0,7,7,0,4,6,0,5,4,5,5,0,5,3,2,2,3,4,0,0,4,0,3,0,3,3,1,3,3,3,3,2,2,1,2,0,2,2,0,2,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
Apr-24,43,30,24,12,22,21,14,13,11,1,5,7,0,7,7,0,4,6,0,5,5,5,5,0,5,3,2,2,3,4,0,0,4,2,3,0,3,3,1,3,3,3,3,3,2,1,2,0,2,2,0,2,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
